host response time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identify_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,logP,minimum_minimum_nights,has_availability_no,availability_30,number_of_reviews,number_of_reviews_ltm,Year,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
1,1.00,1.00,1,1,1,4,1,2,2,34,1999,3.30,180,1,30,18,2,2022,4.94,5,5,4.94,5,4.67,4.78,1,0.3
4,0.00,0.00,2,1,1,2,1,1,1,16,6360,3.80,1,1,29,1,0,2020,4,5,4,5,5,4,4,2,0.03
1,1.00,1.00,2,1,1,6,2,2,4,35,1857,3.27,1,1,30,59,3,2022,4.64,4.61,4.29,4.88,4.88,4.95,4.54,1,1.01
1,1.00,1.00,2,1,1,6,2,2,4,35,1871,3.27,1,1,30,81,7,2023,4.47,4.56,4.23,4.8,4.79,4.93,4.4,1,1.4
1,1.00,1.00,2,1,1,6,2,2,5,35,1879,3.27,1,1,30,119,1,2023,4.45,4.42,4.21,4.84,4.78,4.82,4.45,1,2.05
2,1.00,0.82,2,1,4,4,2,2,2,30,5420,3.73,1,1,30,3,1,2022,3.33,3.33,3.67,3.33,3.67,3.33,3,2,0.06
1,1.00,1.00,2,1,1,6,2,2,5,45,1957,3.29,1,1,30,71,2,2023,4.37,4.51,4.24,4.83,4.81,4.8,4.4,1,1.24
1,1.00,1.00,2,1,1,12,3,4,10,49,3814,3.58,1,1,30,61,3,2023,4.25,4.21,3.9,4.75,4.72,4.82,4.2,1,1.07
1,1.00,1.00,2,1,1,6,2,2,4,35,2000,3.30,1,1,30,37,1,2022,4.36,4.58,4.14,4.89,4.81,4.89,4.33,1,0.67
1,1.00,1.00,2,1,1,6,2,2,2,35,1943,3.29,1,1,30,57,4,2023,4.4,4.51,4.18,4.88,4.81,4.89,4.47,1,1.05
1,1.00,1.00,2,2,4,2,1,1,1,15,6000,3.78,7,1,30,2,1,2022,4,4.5,4.5,5,5,5,4.5,1,0.04
2,0.80,1.00,2,1,4,4,1,1,2,21,1200,3.08,1,1,30,6,1,2023,4.33,5,4.83,4.67,5,4.17,4.67,1,0.12
4,0.00,0.00,2,1,3,2,1,1,1,18,5640,3.75,1,1,25,1,0,2020,5,5,5,5,5,4,5,2,0.03
1,1.00,1.00,2,2,4,2,1,1,1,29,990,3.00,2,1,30,10,4,2023,4.8,4.6,4.8,4.8,5,4.4,4.6,2,0.2
1,1.00,1.00,2,2,4,2,1,1,1,19,850,2.93,1,1,30,27,1,2022,4.19,4.58,4.62,4.85,4.81,4.65,4.69,1,0.54
1,1.00,1.00,2,2,4,2,1,1,1,19,800,2.90,1,1,30,23,0,2020,4.3,4.39,4.43,4.74,4.65,4.7,4.35,1,0.46
1,1.00,1.00,2,2,4,2,1,1,1,19,800,2.90,1,1,30,8,0,2020,4.5,4.5,4.13,5,4.75,5,4.5,1,0.16
1,1.00,1.00,2,2,4,3,1,1,2,18,1200,3.08,1,1,30,10,2,2022,4.33,4.67,4.33,4.67,4.67,4.89,4.33,1,0.2
1,1.00,0.99,2,1,1,6,2,2,2,27,1495,3.17,28,1,30,85,1,2022,4.74,4.79,4.78,4.76,4.86,4.91,4.71,2,1.72
1,1.00,1.00,2,1,1,2,1,1,1,28,1200,3.08,1,1,30,27,10,2023,4.67,4.78,4.41,4.78,4.89,4.74,4.67,2,0.57
4,0.00,0.00,2,1,3,2,1,1,1,18,5640,3.75,1,1,25,1,0,2020,5,5,5,5,5,5,5,2,0.03
2,1.00,1.00,2,1,1,3,1,1,2,45,1100,3.04,70,1,30,3,1,2023,5,5,5,5,5,5,5,2,0.08
1,1.00,1.00,2,1,1,6,2,2,5,32,1886,3.28,1,1,30,15,0,2020,4.27,4.13,3.87,4.87,4.67,5,4.47,1,0.34
1,1.00,1.00,2,1,1,6,2,2,4,34,1971,3.29,1,1,30,17,4,2022,4.53,4.59,4.29,5,4.94,5,4.59,1,0.39
1,1.00,0.99,2,1,1,6,2,2,2,26,3700,3.57,30,1,30,35,0,2020,4.91,4.91,4.86,4.91,4.94,4.89,4.74,2,0.83
1,1.00,0.80,2,1,1,2,2,1,1,43,3200,3.51,3,1,30,3,2,2022,4.67,4.67,5,5,4.67,4.33,4.67,2,0.08
1,1.00,0.80,2,1,1,2,1,1,1,44,3200,3.51,3,1,30,3,2,2023,4,4.33,4,4,4.67,4.33,4,2,0.23
4,0.00,0.00,2,1,1,5,4,3,3,31,5620,3.75,28,1,27,148,0,2020,4.77,4.84,4.85,4.86,4.89,4.86,4.76,2,1.06
4,0.40,1.00,2,1,1,2,1,1,1,22,5335,3.73,1,1,27,1,0,2021,5,5,5,5,5,5,5,1,0.05
4,0.00,0.00,2,1,1,8,5,3,4,30,5000,3.70,2,1,30,60,0,2020,4.9,4.9,4.82,4.93,4.97,4.73,4.83,2,0.84
1,1.00,0.94,1,1,4,2,1,1,1,29,1310,3.12,1,1,30,2,2,2023,5,4.5,5,4.5,5,5,5,2,0.69
1,1.00,0.99,2,1,1,6,2,2,2,22,2500,3.40,28,1,30,14,2,2022,4.86,4.86,4.93,4.71,4.71,4.93,4.64,2,0.36
1,1.00,0.67,2,2,4,2,1,1,2,14,850,2.93,1,1,30,1,1,2023,1,1,1,1,1,1,1,1,0.83
3,0.50,0.96,2,2,4,2,6,6,1,10,600,2.78,1,1,30,9,8,2023,4.33,4.44,4.11,4.56,4.11,4.78,4.44,1,0.24
3,0.75,0.78,2,1,2,1,1,1,1,16,405,2.61,1,1,30,1,1,2023,5,5,5,5,5,5,5,1,0.38
1,0.98,0.98,1,1,1,3,1,1,2,50,1528,3.18,30,1,30,13,7,2023,4.92,4.85,4.77,5,5,4.92,4.69,1,0.38
1,1.00,0.93,2,1,1,15,6,6,12,24,7390,3.87,1,1,27,1,1,2022,5,5,5,5,5,5,5,1,0.14
1,1.00,1.00,2,1,1,2,1,1,1,30,1500,3.18,1,1,30,6,6,2023,4.67,4.67,5,4.33,4.83,4.5,4.83,1,0.85
1,1.00,1.00,2,1,1,4,2,2,2,25,2100,3.32,1,1,30,4,3,2023,4,4.5,3.25,4,5,4.25,4,2,0.32
1,1.00,1.00,2,1,1,5,3,2,2,38,2800,3.45,20,1,30,1,1,2022,5,5,5,5,5,4,5,2,0.11
1,0.99,0.90,2,1,1,2,1,1,1,45,1463,3.17,1,1,30,8,4,2022,4.13,4.88,4.63,4.88,4.63,4.5,4.38,1,0.6
1,0.99,0.90,2,1,1,2,1,1,1,52,1310,3.12,1,1,30,21,16,2023,3.86,4.19,4.81,4.19,4.1,4.33,4.19,1,1.59
1,1.00,1.00,1,1,1,2,1,1,1,43,1350,3.13,2,1,30,10,10,2023,5,4.9,4.8,5,4.9,4.6,4.8,1,1.3
1,0.98,0.88,2,1,1,5,2,2,2,20,4800,3.68,7,1,30,2,2,2023,5,5,5,5,5,5,5,2,0.29
1,1.00,1.00,2,1,1,16,6,6,15,28,5764,3.76,1,1,30,3,3,2023,4,4.33,4,4.67,5,5,4.33,1,1.05
1,1.00,1.00,1,1,1,4,2,2,2,38,3780,3.58,3,1,30,11,11,2023,4.82,4.91,4.82,4.91,4.91,5,4.91,2,2.43
3,1.00,1.00,2,1,4,4,2,1,2,21,1500,3.18,2,1,30,3,3,2022,5,5,5,5,5,5,5,2,0.63
1,1.00,0.93,1,1,1,2,1,1,1,29,1904,3.28,21,1,30,1,1,2022,5,5,5,5,5,5,5,1,0.19
1,1.00,1.00,2,1,1,2,1,1,1,18,775,2.89,1,1,30,9,9,2023,4.89,4.56,4.22,4.89,4.78,4.89,4.78,1,1.67
1,1.00,1.00,1,1,1,2,1,1,1,39,1980,3.30,5,1,30,2,2,2022,5,5,5,5,5,5,5,1,0.35
1,0.99,0.90,2,1,1,2,1,1,1,45,1260,3.10,1,1,30,6,6,2022,4.17,4.33,4.33,4.33,4.33,4,4,1,1.1
1,0.99,0.90,2,1,1,2,1,1,1,47,1090,3.04,1,1,30,4,4,2022,5,5,5,5,5,5,5,1,0.74
1,0.99,0.90,2,1,1,2,1,1,1,39,1090,3.04,1,1,30,7,7,2023,4.71,4.86,4.57,4.86,4.86,4.86,4.71,1,1.31
1,1.00,0.95,2,1,1,6,2,2,3,36,3000,3.48,28,1,30,4,4,2023,5,5,4.75,4.75,5,4.75,4.75,1,1.24
1,1.00,0.91,2,1,1,2,1,1,1,36,1405,3.15,1,1,30,8,8,2023,4.88,4.88,4.88,4.88,4.88,4.75,4.63,2,2.03
2,1.00,1.00,2,1,1,4,2,2,2,28,3496,3.54,180,1,30,6,6,2022,4.83,4.67,4.83,4.83,5,4.67,4.67,1,1.4
1,0.99,0.90,2,1,4,2,1,1,1,46,1215,3.08,1,1,30,6,6,2023,4.83,4.83,4.83,4.83,4.83,4.83,4.83,1,1.73
1,1.00,1.00,1,1,1,2,1,1,1,43,1650,3.22,2,1,30,9,9,2023,4.56,4.89,4.56,5,5,4.56,4.56,1,3.18
1,1.00,1.00,1,1,4,2,1,1,1,27,1121,3.05,1,1,30,9,9,2023,4.89,4.78,4.89,5,4.89,4.78,4.78,2,3.07
1,1.00,0.99,1,2,1,2,1,1,1,21,2150,3.33,4,1,30,4,4,2023,5,5,5,5,5,5,5,1,1.74
1,1.00,0.91,1,1,1,3,1,1,2,18,2800,3.45,2,1,30,3,3,2023,4.67,4.67,4.67,5,4.67,4.67,4.33,2,1.23
1,1.00,1.00,1,1,1,2,2,1,1,56,1300,3.11,3,1,30,1,1,2023,5,5,5,5,5,5,5,1,1
1,1.00,0.93,1,1,1,2,1,1,1,12,1750,3.24,20,1,30,1,1,2023,5,5,5,5,5,5,5,1,0.7
2,1.00,1.00,2,1,1,5,3,3,3,39,3370,3.53,5,1,30,3,2,2022,5,5,5,5,5,5,4.67,2,0.03
1,1.00,0.86,2,1,4,2,1,1,1,15,1400,3.15,1,1,30,9,1,2023,4.88,5,5,4.88,4.88,4.63,4.86,1,0.09
2,0.90,0.64,2,1,1,2,1,1,1,16,450,2.65,80,1,30,11,2,2022,4.82,5,5,5,5,5,4.91,2,0.15
1,1.00,1.00,2,1,1,2,1,1,1,17,700,2.85,3,1,30,7,0,2020,4.71,4.86,4.86,5,5,4.57,4.86,1,0.1
2,0.93,0.60,2,1,4,5,2,2,2,24,4750,3.68,1,1,30,1,1,2022,2,1,1,1,3,2,1,2,0.26
